"id","order_id","client_id","item_id","merchant_id","date_created","item_name","order_notes","normal_price","discounted_price","size","qty","cooking_ref","addon","ingredients","non_taxable"
"330429","147511","8526","11028","115","2020-09-02","Strawberry",,"900.0000","900.0000","One Scoop","1",,"[]",,"1"
"330430","147512","4083","8298","33","2020-09-02","Chicken club",,"6500.0000","6500.0000","regular","1",,"[{""addon_name"":""Chicken club"",""addon_category"":""Free Pizza (With 700rwf container charges)"",""addon_qty"":1,""addon_price"":0}]",,"1"
"330431","147513","7704","8251","91","2020-09-02","Choco Madeleine",,"900.0000","900.0000","regular","2",,"[]",,"1"
"330432","147513","7704","8250","91","2020-09-02","Madeleine",,"800.0000","800.0000","regular","2",,"[]",,"1"
"330433","147513","7704","7956","91","2020-09-02","Glazed Donut",,"1700.0000","1700.0000","regular","2",,"[]",,"1"
"330434","147513","7704","7950","91","2020-09-02","Croissant",,"1500.0000","1500.0000","regular","2",,"[]",,"1"
"330435","147514","4830","10153","64","2020-09-02","Java special chicken curry",,"6200.0000","6200.0000","regular","1",,"[{""addon_name"":""Citron 500ml"",""addon_category"":""Would you like to add Soda"",""addon_qty"":1,""addon_price"":1600}]",,"1"
"330436","147515","1769","12579","151","2020-09-02","4Pcs of Wings",,"6000.0000","6000.0000","regular","1",,"[]",,"1"
"330437","147516","16315","8405","100","2020-09-02","Mützig",,"500.0000","500.0000","regular","7",,"[{""addon_name"":""No, i would like to keep the empties"",""addon_category"":""Would you re-sell the empties for a voucher?"",""addon_qty"":1,""addon_price"":0}]",,"1"
"330438","147517","16872","9509","107","2020-09-02","Passion fruit juice",,"3000.0000","3000.0000","regular","1",,"[]",,"1"
"330439","147517","16872","9501","107","2020-09-02","Vanilla milkshake",,"3000.0000","3000.0000","regular","1",,"[]",,"1"
"330440","147518","3561","6866","18","2020-09-02","Inkoko",,"8800.0000","8800.0000","regular","1",,"[{""addon_name"":""Pili pili"",""addon_category"":""ANY EXTRA INGREDIENT YOU WOULD LIKE ON YOUR PIZZA?"",""addon_qty"":1,""addon_price"":500}]",,"1"
"330441","147519","485","1067","8","2020-09-02","Club Sandwich",,"4500.0000","4500.0000","regular","1",,"[]",,"1"
"330442","147520","13956","8443","44","2020-09-02","Four cousins natural sweet red 1.5L",,"17400.0000","17400.0000","regular","1",,"[]",,"1"
"330443","147521","14162","8981","4","2020-09-02","Chili minced beef","do not add alot of chili","8500.0000","8500.0000","medium","1",,"[]",,"1"
